,home,away,home_points,away_points
441,Memphis Grizzlies,Denver Nuggets,120,99
442,Minnesota Timberwolves,Milwaukee Bucks,117,95
443,Phoenix Suns,Philadelphia 76ers,115,101
444,Miami Heat,Portland Trail Blazers,108,107
445,Los Angeles Clippers,Utah Jazz,98,90
446,Golden State Warriors,Cleveland Cavaliers,108,104
447,Orlando Magic,Atlanta Hawks,109,102
448,Oklahoma City Thunder,Houston Rockets,117,86
449,San Antonio Spurs,Sacramento Kings,112,104
450,Philadelphia 76ers,Los Angeles Lakers,111,104
451,Washington Wizards,Detroit Pistons,106,99
452,Chicago Bulls,Memphis Grizzlies,95,91
453,Dallas Mavericks,Minnesota Timberwolves,100,98
454,New Orleans Pelicans,Portland Trail Blazers,110,108
455,Miami Heat,Denver Nuggets,97,94
456,Utah Jazz,Charlotte Bobcats,83,80
457,Phoenix Suns,Los Angeles Clippers,107,88
458,Atlanta Hawks,Boston Celtics,92,91
459,Indiana Pacers,Cleveland Cavaliers,91,76
460,Golden State Warriors,Orlando Magic,94,81
461,Toronto Raptors,Chicago Bulls,85,79
462,Sacramento Kings,Houston Rockets,110,106
463,San Antonio Spurs,Brooklyn Nets,113,92
464,Portland Trail Blazers,Oklahoma City Thunder,98,94
465,Milwaukee Bucks,Los Angeles Lakers,94,79
466,Dallas Mavericks,Washington Wizards,87,78
467,Toronto Raptors,Indiana Pacers,95,82
468,Minnesota Timberwolves,New Orleans Pelicans,124,112
469,Philadelphia 76ers,Denver Nuggets,114,102
470,Los Angeles Clippers,Charlotte Bobcats,112,85
471,Cleveland Cavaliers,Orlando Magic,87,81
472,Golden State Warriors,Miami Heat,123,114
473,Chicago Bulls,Boston Celtics,94,82
474,Brooklyn Nets,Oklahoma City Thunder,95,93
475,New York Knicks,San Antonio Spurs,105,101
476,Memphis Grizzlies,Phoenix Suns,99,91
477,Utah Jazz,Milwaukee Bucks,96,87
478,Portland Trail Blazers,Charlotte Bobcats,134,104
479,Philadelphia 76ers,Sacramento Kings,113,104
480,Toronto Raptors,Washington Wizards,101,88
481,Golden State Warriors,Atlanta Hawks,101,100
482,New Orleans Pelicans,Boston Celtics,95,92
483,Houston Rockets,New York Knicks,102,100
484,Los Angeles Clippers,Dallas Mavericks,119,112
485,Denver Nuggets,Memphis Grizzlies,111,108
486,Los Angeles Lakers,Utah Jazz,110,99
487,Indiana Pacers,New Orleans Pelicans,99,82
488,Miami Heat,Orlando Magic,110,94
489,Brooklyn Nets,Cleveland Cavaliers,89,82
490,Chicago Bulls,Atlanta Hawks,91,84
491,Oklahoma City Thunder,Minnesota Timberwolves,115,111
492,San Antonio Spurs,Los Angeles Clippers,116,92
493,Phoenix Suns,Milwaukee Bucks,116,100
494,Philadelphia 76ers,Portland Trail Blazers,101,99
495,Charlotte Bobcats,Sacramento Kings,113,103
496,Memphis Grizzlies,Detroit Pistons,112,84
497,Indiana Pacers,Cleveland Cavaliers,82,78
498,Miami Heat,Toronto Raptors,102,97
499,Golden State Warriors,Washington Wizards,112,96
500,Oklahoma City Thunder,Boston Celtics,119,96
501,New York Knicks,Dallas Mavericks,92,80
502,Denver Nuggets,Los Angeles Lakers,137,115
503,Minnesota Timberwolves,Philadelphia 76ers,126,95
504,Brooklyn Nets,Atlanta Hawks,91,86
505,Los Angeles Clippers,Orlando Magic,101,81
506,Washington Wizards,Charlotte Bobcats,97,83
507,Cleveland Cavaliers,Philadelphia 76ers,111,93
508,Indiana Pacers,Toronto Raptors,86,79
509,Miami Heat,New Orleans Pelicans,107,88
510,New York Knicks,Detroit Pistons,89,85
511,Chicago Bulls,Phoenix Suns,92,87
512,San Antonio Spurs,Memphis Grizzlies,110,108
513,Golden State Warriors,Milwaukee Bucks,101,80
514,Dallas Mavericks,Los Angeles Lakers,110,97
515,Denver Nuggets,Boston Celtics,129,98
516,Utah Jazz,Oklahoma City Thunder,112,101
517,Sacramento Kings,Portland Trail Blazers,123,119
518,San Antonio Spurs,Dallas Mavericks,112,90
519,Toronto Raptors,Detroit Pistons,112,91
520,Atlanta Hawks,Indiana Pacers,97,87
521,Brooklyn Nets,Golden State Warriors,102,98
522,Phoenix Suns,Minnesota Timberwolves,104,103
523,Washington Wizards,New Orleans Pelicans,102,96
524,Houston Rockets,Los Angeles Lakers,113,99
525,Portland Trail Blazers,Orlando Magic,110,94
526,Los Angeles Clippers,Boston Celtics,111,105
527,New York Knicks,Miami Heat,102,92
528,Denver Nuggets,Oklahoma City Thunder,101,88
529,Indiana Pacers,Washington Wizards,93,66
530,Detroit Pistons,Philadelphia 76ers,114,104
531,Atlanta Hawks,Houston Rockets,83,80
532,Memphis Grizzlies,Phoenix Suns,104,99
533,Minnesota Timberwolves,Charlotte Bobcats,119,92
534,Dallas Mavericks,New Orleans Pelicans,107,90
535,Brooklyn Nets,Miami Heat,104,95
536,Chicago Bulls,Milwaukee Bucks,81,72
537,Cleveland Cavaliers,Utah Jazz,113,102
538,Sacramento Kings,Orlando Magic,103,83
539,Golden State Warriors,Boston Celtics,99,97
540,Los Angeles Clippers,Los Angeles Lakers,123,87
541,Toronto Raptors,Brooklyn Nets,96,80
542,Houston Rockets,Washington Wizards,114,107
543,Detroit Pistons,Phoenix Suns,110,108
544,New York Knicks,Philadelphia 76ers,102,92
545,Chicago Bulls,Charlotte Bobcats,103,97
546,Oklahoma City Thunder,Milwaukee Bucks,101,85
547,Dallas Mavericks,New Orleans Pelicans,110,107
548,Denver Nuggets,Orlando Magic,120,94
549,Portland Trail Blazers,Boston Celtics,112,104
